TIMESTMP;YEAR;MONTH;DAY;FEIERTAG;NAME_FT
01.01.2004;2004;1;1;1;
02.01.2004;2004;1;2;0;
03.01.2004;2004;1;3;0;
04.01.2004;2004;1;4;0;
05.01.2004;2004;1;5;0;
06.01.2004;2004;1;6;0;
07.01.2004;2004;1;7;0;
08.01.2004;2004;1;8;0;
09.01.2004;2004;1;9;0;
10.01.2004;2004;1;10;0;
11.01.2004;2004;1;11;0;
12.01.2004;2004;1;12;0;
13.01.2004;2004;1;13;0;
14.01.2004;2004;1;14;0;
15.01.2004;2004;1;15;0;
16.01.2004;2004;1;16;0;
17.01.2004;2004;1;17;0;
18.01.2004;2004;1;18;0;
19.01.2004;2004;1;19;0;
20.01.2004;2004;1;20;0;
21.01.2004;2004;1;21;0;
22.01.2004;2004;1;22;0;
23.01.2004;2004;1;23;0;
24.01.2004;2004;1;24;0;
25.01.2004;2004;1;25;0;
26.01.2004;2004;1;26;0;
27.01.2004;2004;1;27;0;
28.01.2004;2004;1;28;0;
29.01.2004;2004;1;29;0;
30.01.2004;2004;1;30;0;
31.01.2004;2004;1;31;0;
01.02.2004;2004;2;1;0;
02.02.2004;2004;2;2;0;
03.02.2004;2004;2;3;0;
04.02.2004;2004;2;4;0;
05.02.2004;2004;2;5;0;
06.02.2004;2004;2;6;0;
07.02.2004;2004;2;7;0;
08.02.2004;2004;2;8;0;
09.02.2004;2004;2;9;0;
10.02.2004;2004;2;10;0;
11.02.2004;2004;2;11;0;
12.02.2004;2004;2;12;0;
13.02.2004;2004;2;13;0;
14.02.2004;2004;2;14;0;
15.02.2004;2004;2;15;0;
16.02.2004;2004;2;16;0;
17.02.2004;2004;2;17;0;
18.02.2004;2004;2;18;0;
19.02.2004;2004;2;19;0;
20.02.2004;2004;2;20;0;
21.02.2004;2004;2;21;0;
22.02.2004;2004;2;22;0;
23.02.2004;2004;2;23;0;
24.02.2004;2004;2;24;0;
25.02.2004;2004;2;25;0;
26.02.2004;2004;2;26;0;
27.02.2004;2004;2;27;0;
28.02.2004;2004;2;28;0;
29.02.2004;2004;2;29;0;
01.03.2004;2004;3;1;0;
02.03.2004;2004;3;2;0;
03.03.2004;2004;3;3;0;
04.03.2004;2004;3;4;0;
05.03.2004;2004;3;5;0;
06.03.2004;2004;3;6;0;
07.03.2004;2004;3;7;0;
08.03.2004;2004;3;8;0;
09.03.2004;2004;3;9;0;
10.03.2004;2004;3;10;0;
11.03.2004;2004;3;11;0;
12.03.2004;2004;3;12;0;
13.03.2004;2004;3;13;0;
14.03.2004;2004;3;14;0;
15.03.2004;2004;3;15;0;
16.03.2004;2004;3;16;0;
17.03.2004;2004;3;17;0;
18.03.2004;2004;3;18;0;
19.03.2004;2004;3;19;0;
20.03.2004;2004;3;20;0;
21.03.2004;2004;3;21;0;
22.03.2004;2004;3;22;0;
23.03.2004;2004;3;23;0;
24.03.2004;2004;3;24;0;
25.03.2004;2004;3;25;0;
26.03.2004;2004;3;26;0;
27.03.2004;2004;3;27;0;
28.03.2004;2004;3;28;0;
29.03.2004;2004;3;29;0;
